Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
68,68,2000-03-23,24-247,MIL,@,IND,W (+21),1,40:00,11,20,.550,1,3,.333,3,3,1.000,1,6,7,2,5,0,1,3,26,23.1
69,69,2000-03-24,24-248,MIL,,MIA,L (-12),1,43:00,15,20,.750,6,9,.667,0,0,,2,2,4,2,0,0,4,1,36,27.0
70,70,2000-03-26,24-250,MIL,,BOS,W (+15),1,43:00,12,20,.600,3,7,.429,0,0,,1,4,5,2,3,0,1,4,27,21.5
71,71,2000-03-30,24-254,MIL,@,LAC,W (+19),1,37:00,14,19,.737,4,6,.667,3,3,1.000,0,4,4,3,2,0,3,0,35,29.6
72,72,2000-04-01,24-256,MIL,@,POR,L (-34),1,35:00,4,13,.308,1,3,.333,4,5,.800,1,4,5,2,1,1,2,1,13,7.7
73,73,2000-04-02,24-257,MIL,@,GSW,W (+4),1,43:00,10,19,.526,3,4,.750,4,5,.800,1,1,2,3,1,0,2,2,27,18.6
74,74,2000-04-04,24-259,MIL,,CHI,W (+19),1,31:00,6,13,.462,2,4,.500,4,5,.800,0,1,1,1,3,0,1,2,18,13.1
75,75,2000-04-06,24-261,MIL,@,CHI,L (-2),1,40:00,6,19,.316,1,4,.250,6,7,.857,2,3,5,0,1,0,3,1,19,7.6
76,76,2000-04-08,24-263,MIL,,NJN,W (+8),1,33:00,9,17,.529,1,4,.250,2,3,.667,0,5,5,4,0,1,1,3,21,15.1
77,77,2000-04-10,24-265,MIL,,ORL,W (+17),1,39:00,11,20,.550,4,4,1.000,7,7,1.000,0,3,3,6,2,1,2,1,33,28.8
78,78,2000-04-12,24-267,MIL,@,CLE,W (+1),1,45:00,11,20,.550,1,6,.167,4,6,.667,1,3,4,5,1,0,3,4,27,18.1
79,79,2000-04-14,24-269,MIL,,CHH,L (-3),1,48:00,7,19,.368,3,9,.333,9,10,.900,0,5,5,6,2,1,5,1,26,18.1
80,80,2000-04-15,24-270,MIL,@,WAS,W (+4),1,49:00,9,22,.409,5,7,.714,6,6,1.000,3,1,4,7,2,0,3,3,29,22.3
81,81,2000-04-17,24-272,MIL,@,ORL,W (+2),1,32:00,5,9,.556,1,3,.333,1,2,.500,0,3,3,1,3,0,3,3,12,7.7
