Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
23,23,1999-03-20,23-243,MIL,@,ATL,W (+6),1,25:00,1,9,.111,0,2,.000,6,6,1.000,0,2,2,3,2,0,4,5,8,0.8
24,24,1999-03-21,23-244,MIL,,CHH,L (-7),1,38:00,6,15,.400,1,7,.143,3,4,.750,0,4,4,7,0,0,1,1,16,12.2
25,25,1999-03-22,23-245,MIL,,DET,W (+29),1,26:00,6,9,.667,2,3,.667,5,5,1.000,0,3,3,2,1,0,1,3,19,16.2
26,26,1999-03-24,23-247,MIL,,MIA,L (-8),1,34:00,4,11,.364,0,2,.000,4,4,1.000,1,5,6,2,0,0,2,5,12,5.5
27,27,1999-03-26,23-249,MIL,@,DET,L (-5),1,38:00,7,19,.368,4,9,.444,11,11,1.000,2,4,6,5,3,0,3,3,29,23.4
28,28,1999-03-28,23-251,MIL,@,MIN,W (+9),1,30:00,6,13,.462,2,4,.500,0,0,,1,1,2,1,1,0,2,1,14,7.6
29,29,1999-03-30,23-253,MIL,,WAS,W (+2),1,34:00,8,12,.667,3,3,1.000,6,6,1.000,1,7,8,3,1,0,4,2,25,20.9
30,30,1999-03-31,23-254,MIL,@,CHH,W (+8),1,31:00,9,14,.643,2,2,1.000,0,1,.000,2,3,5,3,1,0,1,2,20,17.0
31,31,1999-04-02,23-256,MIL,@,BOS,W (+1),1,35:00,6,12,.500,1,3,.333,6,8,.750,0,5,5,3,0,1,2,1,19,14.1
32,32,1999-04-04,23-258,MIL,@,CLE,L (-24),1,29:00,0,8,.000,0,4,.000,2,2,1.000,1,4,5,3,1,0,0,2,2,0.6
33,33,1999-04-06,23-260,MIL,@,PHI,L (-8),1,33:00,5,19,.263,0,6,.000,2,2,1.000,2,3,5,7,0,0,0,4,12,6.3
34,34,1999-04-07,23-261,MIL,,CLE,W (+8),1,38:00,7,15,.467,3,5,.600,0,0,,4,1,5,3,1,0,1,5,17,12.5
35,35,1999-04-09,23-263,MIL,@,ORL,L (-12),1,32:00,9,16,.563,2,4,.500,1,2,.500,3,1,4,2,2,0,5,1,21,13.4
